sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,Temp_Diff,Engine Condition
642.07,1585.89,1404.7,554.38,2388.01,9057.7,47.33,522.28,2388.02,8138.03,8.3964,391,39.02,23.3521,-7615.75,0
642.17,1594.22,1409.44,553.32,2388.09,9042.68,47.37,521.25,2388.09,8123.0,8.451,393,38.79,23.2463,-7601.75,0
643.51,1604.6,1430.95,552.78,2388.16,9120.78,48.12,520.43,2388.13,8186.11,8.4808,396,38.45,23.0757,-7665.679999999999,1
642.83,1601.88,1417.4,552.83,2388.13,9171.99,47.85,520.79,2388.07,8240.06,8.4992,395,38.46,23.2898,-7719.2699999999995,1
642.52,1583.21,1403.95,553.88,2388.07,9053.91,47.49,521.69,2388.07,8140.09,8.4335,394,38.88,23.4951,-7618.4,0
642.93,1590.55,1406.1,553.96,2388.1,9054.87,47.59,521.63,2388.1,8134.36,8.4309,394,38.92,23.3526,-7612.73,0
643.18,1593.24,1408.2,553.41,2388.1,9056.91,47.54,521.17,2388.12,8138.78,8.4396,393,38.87,23.2598,-7617.61,0
643.42,1601.18,1425.95,552.56,2388.17,9053.48,47.69,520.22,2388.13,8127.39,8.4799,395,38.46,23.1264,-7607.17,0
642.4,1590.67,1406.01,553.12,2388.06,9046.42,47.28,522.0,2388.1,8126.54,8.4465,392,38.85,23.3891,-7604.54,0
642.86,1595.9,1407.04,553.45,2388.17,9064.88,47.51,520.63,2388.18,8133.59,8.448,393,38.7,23.2255,-7612.96,0
641.97,1582.13,1399.23,554.88,2387.96,9052.66,47.15,522.39,2388.0,8136.53,8.3828,391,39.06,23.3483,-7614.139999999999,0
642.36,1592.4,1402.48,554.14,2388.11,9058.85,47.36,521.73,2388.07,8136.72,8.4226,393,38.75,23.2554,-7614.99,0
